"OBJECTID","GIS_DB_ID","Route","Direction","Stop_ID","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","School_Rou","Source","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
7453,"526239N","52","N",6239,63,"CIT53RNE","City Av & 53rd St","City","Bus","No","APC Fall 2016",1,7,8,0,0,0,0,3,3,39.997449,-75.234365,"{F532C479-0009-4C4D-A31C-D2131E7D8A25}","2016"
7454,"526239N","52","N",6239,64,"CIT53RNE","City Av & 53rd St","City","Bus","No","APC Fall 2016",1,7,8,0,0,0,0,3,3,39.997449,-75.234365,"{6ADE1907-C00F-4A8C-80C3-1D948E076467}","2016"
7455,"5220592N","52","N",20592,65,"CIT52NNE","City Av & 52nd St","City","Bus","No","APC Fall 2016",2,1,3,0,0,0,0,0,0,39.997965,-75.233289,"{863AC36C-35F7-44F1-9B9C-E8CC8C57E621}","2016"
7456,"526232N","52","N",6232,66,"CITBRYNE","City Av & Bryn Mawr Av","City","Bus","No","APC Fall 2016",1,7,8,0,0,0,0,0,0,39.999024,-75.231017,"{88DEB530-192E-4A96-A47F-CE98AFB546A6}","2016"
7457,"5230129N","52","N",30129,67,"BALCITNW","Bala Av & City Av - FS","City","Bus","No","APC Fall 2016",11,7,18,0,0,0,0,0,0,40.000466,-75.22891,"{2738AB43-5065-433E-90CF-CBC66271792A}","2016"
7458,"5221769N","52","N",21769,68,"BALUNINW","Bala Av & Union Av","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.003103,-75.231041,"{FD1A7402-59C4-4E6B-9A2F-921B0A8448BB}","2016"
7459,"5229567N","52","N",29567,69,"BALHIGNO","Bala Av & Highland Av","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.004996,-75.232052,"{474ECDC9-6505-453A-87A7-816A23BB290A}","2016"
7460,"5221770N","52","N",21770,70,"BALMONNO","Bala Av & Montgomery Av","City","Bus","No","APC Fall 2016",0,2,2,0,0,0,0,0,0,40.006335,-75.232238,"{CFD0B932-44F9-4256-87AD-44080E45F93D}","2016"
7461,"5229568N","52","N",29568,71,"CONBAANO","Conshohocken State Rd & Bala Av","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.007452,-75.232613,"{81A9ED72-57A7-4CFE-B13C-C3837CDDEC9E}","2016"
7462,"5221771N","52","N",21771,72,"CONLODNW","Conshohocken State Rd & Lodges Ln","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.010711,-75.233821,"{4C20F251-6739-4EC6-B53F-15778B2DD098}","2016"
7463,"5230130N","52","N",30130,73,"COSDERNW","Conshohocken State Rd & Derwin Rd","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.012311,-75.235117,"{F6101EAF-4285-44F8-B428-35B11088EA18}","2016"
7464,"5221773N","52","N",21773,74,"CONLEVNW","Conshohocken State Rd & Levering","City","Bus","No","APC Fall 2016",0,2,2,0,0,0,0,0,0,40.013401,-75.235965,"{C9DD4F62-EB9C-4728-8834-88E61262A506}","2016"
7465,"5221774N","52","N",21774,75,"CONOVENW","Conshohocken State Rd & Overhill Rd","City","Bus","No","APC Fall 2016",0,2,2,0,0,0,0,0,0,40.015099,-75.237308,"{E4EB3CAB-B81B-4AF6-95B9-1199152E4330}","2016"
7466,"5221776N","52","N",21776,76,"CONDARNE","Conshohocken State Rd & Dartmouth","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.016895,-75.238839,"{3A286691-0A8E-4094-AB2F-F4E32F71B5D4}","2016"
7467,"5221777N","52","N",21777,77,"CONROCNW","Conshohocken State Rd & Rockhill Rd","City","Bus","No","APC Fall 2016",0,3,3,0,0,0,0,0,0,40.018245,-75.240041,"{82CC7161-F3AD-4E9E-BD08-0FC33FC60747}","2016"
7468,"5231449N","52","N",31449,78,"CONMARNW","Conshohocken State Rd & Mary Waters Ford Rd","City","Bus","No","APC Fall 2016",0,1,1,0,0,0,0,0,0,40.020618,-75.245732,"{27DF466F-4F19-498A-864C-527DA702DA84}","2016"
7469,"5221779N","52","N",21779,79,"CONCENNW","Conshohocken State Rd & Centennial","City","Bus","No","APC Fall 2016",0,2,2,0,0,0,0,0,0,40.023318,-75.255147,"{0816B606-2CC0-49DB-8FB8-0B773D1F6808}","2016"
7470,"5221780N","52","N",21780,80,"CONHAGNO","Conshohocken St & Hagys Ford Rd","City","Bus","No","APC Fall 2016",0,3,3,0,0,0,0,0,0,40.025348,-75.257565,"{B03C3318-16E3-435E-9FE0-63926D47CB08}","2016"
