"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
12035,"5221702S","City","52","Southbound",72,21702,"52NWALSO","52nd St & Walnut St","Bus","No",0,NA,"No","APC (UTA)",NA,220,128,348,127,87,214,64,46,109,39.957059,-75.225571,"{A2D8DB9A-D6A8-40AC-A0A7-D93CF566E6B8}","2018"
12036,"5221703S","City","52","Southbound",73,21703,"52NLOCSO","52nd St & Locust St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,40,56,96,27,27,54,11,14,26,39.955569,-75.225906,"{D8AD5A9E-67F6-43F8-909E-460689358006}","2018"
12037,"5221704S","City","52","Southbound",74,21704,"52NSPRSO","52nd St & Spruce St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,146,171,317,87,99,186,55,60,116,39.954427,-75.226133,"{FBC20F47-4B9D-4DCE-8700-E4278031B58A}","2018"
12038,"5221705S","City","52","Southbound",75,21705,"52NPINSO","52nd St & Pine St","Bus","No",0,NA,"No","APC (UTA)",NA,48,99,147,23,32,55,18,27,45,39.953633,-75.226313,"{145BC544-6819-42C5-A4BD-F2E79E156825}","2018"
12039,"5221706S","City","52","Southbound",76,21706,"52NLARSO","52nd St & Larchwood St","Bus","No",0,NA,"No","APC (UTA)",NA,41,101,141,21,45,66,18,34,52,39.952098,-75.226612,"{D360E26D-2B39-48E5-8BC3-1E8A4F84F930}","2018"
12040,"5221707S","City","52","Southbound",77,21707,"52NCEDSO","52nd St & Cedar Av","Bus","No",0,NA,"No","APC (UTA)",NA,99,205,303,28,95,123,26,53,79,39.950564,-75.226936,"{99D89DA3-0212-4B59-980D-2103918B9AF1}","2018"
12041,"5221708S","City","52","Southbound",78,21708,"52NCATSO","52nd St & Catherine St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,24,71,95,14,54,68,7,26,33,39.948797,-75.227318,"{0B18F810-E8E8-46BA-984B-4F83C2533FAB}","2018"
12042,"5221709S","City","52","Southbound",80,21709,"WHI53RSW","Whitby Av & 53rd St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,10,21,30,4,12,16,2,7,9,39.946006,-75.228731,"{7A69CEFA-931C-4137-B626-2343221C027E}","2018"
12043,"5221710S","City","52","Southbound",81,21710,"54TWHISE","54th St & Whitby Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,46,165,212,23,102,125,20,66,87,39.945133,-75.229501,"{84CDF0C0-8ACE-4D32-8591-8E68256B113D}","2018"
12044,"5221711S","City","52","Southbound",82,21711,"54TWILSE","54th St & Willows Av","Bus","No",0,NA,"No","APC (UTA)",NA,46,156,202,20,92,112,15,54,69,39.944158,-75.228312,"{FAB95168-917D-4BCD-B5A8-44BA182C7C37}","2018"
12045,"5221712S","City","52","Southbound",83,21712,"54TFLOSE","54th St & Florence Av","Bus","No",0,NA,"No","APC (UTA)",NA,74,257,331,29,101,130,15,59,74,39.942969,-75.226945,"{58360D23-1ABE-4EB2-AC6D-C3894055AF4F}","2018"
12046,"5221713S","City","52","Southbound",84,21713,"54TWARSE","54th St & Warrington St","Bus","No",0,NA,"No","APC (UTA)",NA,76,204,280,19,90,109,11,52,63,39.941887,-75.225661,"{DB981380-9D39-47BF-A826-0967F83C557F}","2018"
12047,"5221714S","City","52","Southbound",85,21714,"54TSPRSE","54th St & Springfield Av","Bus","No",0,NA,"No","APC (UTA)",NA,29,114,143,10,59,68,11,45,56,39.940724,-75.224295,"{B7ADFB4B-F847-4EBE-8DA4-89F608672409}","2018"
12048,"5221715S","City","52","Southbound",88,21715,"54TKINSE","54th St & Kingsessing Av","Bus","No",0,NA,"No","APC (UTA)",NA,21,92,114,16,63,79,8,57,65,39.938659,-75.221798,"{F22F6726-76F5-4B75-9580-9925F9AD8A44}","2018"
12049,"5221716S","City","52","Southbound",89,21716,"GRE54TNE","Greenway Av & 54th St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,28,289,318,10,168,178,6,127,133,39.937522,-75.220018,"{2EE4DC89-D25C-49ED-8A78-934053EBF280}","2018"
12050,"5221717S","City","52","Southbound",90,21717,"GRE53RNE","Greenway Av & 53rd St","Bus","No",0,NA,"No","APC (UTA)",NA,9,75,84,4,64,69,5,42,48,39.938306,-75.218883,"{4F61A11F-4BD9-4DC7-A86A-A7B2D93D9552}","2018"
12051,"5221718S","City","52","Southbound",91,21718,"GRE52NNE","Greenway Av & 52nd St","Bus","No",0,NA,"No","APC (UTA)",NA,10,85,95,5,64,69,3,46,49,39.939267,-75.21751,"{2D0925FD-4EB3-4A76-B055-652E462F02DB}","2018"
12052,"5221719S","City","52","Southbound",92,21719,"GRE51SNE","Greenway Av & 51st St","Bus","No",0,NA,"No","APC (UTA)",NA,8,60,68,3,31,34,1,27,28,39.940069,-75.216374,"{59BD88AC-EE41-47BD-95DB-1C6A47F33F46}","2018"
12053,"5221720S","City","52","Southbound",93,21720,"GRE50TNE","Greenway Av & 50th St","Bus","No",0,NA,"No","APC (UTA)",NA,19,58,77,10,38,48,25,22,48,39.940959,-75.215132,"{0E7D0281-C39B-4F86-A9F0-AB7166769B3A}","2018"
12054,"5221721N","City","52","Northbound",40,21721,"52NHESNE","52nd St & Heston St","Bus","No",0,NA,"No","APC (UTA)",NA,20,161,180,0,0,0,0,0,0,39.979772,-75.225069,"{3E82C823-EF6E-49EE-A3C6-6247FAC584AB}","2018"
12055,"5221722N","City","52","Northbound",41,21722,"52NPARNE","52nd St & Parkside Av","Bus","No",0,NA,"No","APC (UTA)",NA,1,10,12,0,0,0,0,0,0,39.98143,-75.224037,"{57D86851-AF93-40BA-BEB4-5EE494601DC6}","2018"
12056,"5221724N","City","52","Northbound",42,21724,"PAR51SSE","Parkside Av & 51st St","Bus","No",0,NA,"No","APC (UTA)",NA,11,158,169,0,0,0,0,0,0,39.980721,-75.221581,"{A4F92875-5D18-4ABE-AA45-2FD93D3E66ED}","2018"
12057,"5221725N","City","52","Northbound",43,21725,"PAR50TSE","Parkside Av & 50th St","Bus","Yes",0,"49PS","No","APC (UTA)",NA,6,55,61,0,0,0,0,0,0,39.979923,-75.219422,"{EA713165-42D1-4808-BA94-A65055D9F8E1}","2018"
12058,"5221727N","City","52","Northbound",6,21727,"54TWOONW","54th St & Woodland Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,330,50,381,216,26,241,152,14,166,39.93653,-75.219112,"{0707E4F3-B766-45E5-86B6-315FE4A06BE1}","2018"
12059,"5221728N","City","52","Northbound",7,21728,"54TGRENW","54th St & Greenway Av","Bus","No",0,NA,"No","APC (UTA)",NA,80,12,92,42,7,50,44,4,48,39.93738,-75.220113,"{93FAB959-BB1B-4250-9CB6-88D64039925C}","2018"
12060,"5221730N","City","52","Northbound",8,21730,"54TKISNW","54th St & Kingsessing Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,69,17,86,49,13,62,34,9,43,39.938739,-75.221727,"{BC5387A8-BDC4-4B30-A0CC-5244A3F1DBC7}","2018"
12061,"5221731N","City","52","Northbound",11,21731,"54TSPRNW","54th St & Springfield Av","Bus","No",0,NA,"No","APC (UTA)",NA,111,25,135,65,15,79,39,7,46,39.940697,-75.224035,"{7BFD9DC6-4AE0-4B0E-A19B-7D8E263FAA6D}","2018"
12062,"5221732N","City","52","Northbound",12,21732,"54TWARNW","54th St & Warrington Av","Bus","No",0,NA,"No","APC (UTA)",NA,201,88,288,72,20,92,59,20,79,39.94186,-75.225437,"{41992442-A4BD-44F2-AF06-BA2AEB1A6E97}","2018"
12063,"5221733N","City","52","Northbound",13,21733,"54TFLONW","54th St & Florence Av","Bus","No",0,NA,"No","APC (UTA)",NA,245,70,315,126,29,155,83,21,104,39.942951,-75.226685,"{A9A12610-FB8F-4A3C-9472-6498F9EC20F2}","2018"
12064,"5221734N","City","52","Northbound",14,21734,"54TWILNW","54th St & Willows Av","Bus","No",0,NA,"No","APC (UTA)",NA,177,48,225,103,29,132,78,25,102,39.94414,-75.228052,"{8E433C28-04D4-4C2C-8C5B-51FCDF34C3FA}","2018"
12065,"5221735N","City","52","Northbound",15,21735,"54TWHINW","54th St & Whitby Av","Bus","No",0,NA,"No","APC (UTA)",NA,212,57,270,120,32,153,73,23,97,39.945258,-75.229418,"{90C9CED8-C778-4E6A-A76E-8903CCD7D960}","2018"
12066,"5221736N","City","52","Northbound",16,21736,"WHI53RNE","Whitby Av & 53rd St","Bus","No",0,NA,"No","APC (UTA)",NA,15,24,39,3,10,13,3,6,8,39.94581,-75.228756,"{E9B966DB-DAC0-4191-9EA0-3A146A72FD09}","2018"
12067,"5221737N","City","52","Northbound",19,21737,"52NCATNO","52nd St & Catherine St - FS","Bus","No",0,NA,"No","APC (UTA)",NA,100,27,127,64,21,85,39,14,53,39.949118,-75.227081,"{16365C76-9916-4351-BDD3-ED4AB5652D50}","2018"
