"OBJECTID","GIS_DB_ID","Route","Stop_ID","Direction","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","Latitude","Longitude","Routes_Ser","Weekday_Bo","Weekday_Le","Weekday_Lo","Weekday_Tr","Saturday_B","Saturday_L","Saturday_1","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Loa","Sunday_Tri","Source","School_Rou","GlobalID","year"
14340,"5221721N","52",21721,"N",41,"52NCOLNE","52nd St & Columbia Av","City Fall 2015","Bus",39.980378,-75.224689,"40, 52",3,13,295,32,0,0,0,0,0,0,0,0,"APC","No","{AFF776FE-0931-4A1B-96D1-F70DD698371E}","2015"
14341,"5221722N","52",21722,"N",42,"52NPARNE","52nd St & Parkside Av","City Fall 2015","Bus",39.98143,-75.224037,"40, 52",0,10,286,32,0,0,0,0,0,0,0,0,"APC","No","{1DA6B241-F942-4D70-B201-68191B0FE883}","2015"
14342,"5221723N","52",21723,"N",43,"PARPAXSE","Parkside Av & Paxon St","City Fall 2015","Bus",39.981143,-75.22262,"40, 52",0,14,272,32,0,0,0,0,0,0,0,0,"APC","No","{865A8A98-D0B3-49AB-BC80-DDD005FD7516}","2015"
14343,"5221724N","52",21724,"N",44,"PAR51SSE","Parkside Av & 51st St","City Fall 2015","Bus",39.980721,-75.221581,"40, 52",3,158,119,32,0,0,0,0,0,0,0,0,"APC","No","{B7AB0017-8DD4-4CD8-867D-5D2090530661}","2015"
14344,"5221725N","52",21725,"N",45,"PAR50TSE","Parkside Av & 50th St","City Fall 2015","Bus",39.979923,-75.219422,"40, 52",2,44,75,32,0,0,0,0,0,0,0,0,"APC","No","{4FB20B13-A1D3-4FDB-A411-F8528A308F06}","2015"
14345,"5230771N","52",30771,"N",46,"PARLOOSO","50th & Parkside Loop","City Fall 2015","Bus",39.978201,-75.219687,"43, 52, 64",0,72,6,32,0,0,0,0,0,0,0,0,"APC","No","{B5A1502A-42FB-45B7-A0B6-97720AA9E56B}","2015"
14346,"5221758N","52",21758,"N",47,"JEF52NNW","Jefferson St & 52nd St - FS","City Fall 2015","Bus",39.979577,-75.225554,"40, 52",156,493,2283,136,89,255,1346,92,86,275,1206,83,"APC","No","{F301F39D-946D-4154-BEE3-B2EBE05064D8}","2015"
14347,"5221759N","52",21759,"N",48,"JEFLINNW","Jefferson St & Lindenwood St","City Fall 2015","Bus",39.980123,-75.227041,"40, 52",24,66,2242,136,10,34,1321,92,9,29,1186,83,"APC","No","{FA8363CD-1AD9-4ECF-BD9C-A0A2ED93285E}","2015"
14348,"5222290N","52",22290,"N",49,"JEF53RNW","Jefferson St & 53rd St","City Fall 2015","Bus",39.980455,-75.227997,"40, 52",15,43,2213,136,5,20,1324,93,11,15,1184,83,"APC","No","{028CFD32-1568-4F3B-8BA7-DA5EEF3C59DF}","2015"
14349,"5221760N","52",21760,"N",50,"54TOXFNW","54th St & Oxford St","City Fall 2015","Bus",39.981467,-75.229967,"40, 52",3,24,2193,136,2,11,1315,93,3,19,1168,83,"APC","No","{0E068BDB-88FD-4501-AEFB-C4ED3C81B660}","2015"
14350,"5221761N","52",21761,"N",51,"54TCOLNW","54th St & Columbia Av","City Fall 2015","Bus",39.982414,-75.230602,"40, 52",10,78,2126,136,7,52,1270,93,5,41,1132,83,"APC","No","{55F7F655-A163-4F3D-9F72-0C6D156D57E5}","2015"
14351,"5221762N","52",21762,"N",52,"54TMONNW","54th St & Montgomery Av","City Fall 2015","Bus",39.984003,-75.231165,"40, 52",43,255,1914,136,25,156,1139,93,16,139,1009,83,"APC","No","{03581DF6-C60B-4F20-8E95-C280DF651332}","2015"
14352,"5221763N","52",21763,"N",53,"54TBERNW","54th St & Berks St","City Fall 2015","Bus",39.985789,-75.231774,"40, 52",65,402,1577,136,24,200,964,93,23,203,830,83,"APC","No","{AD494575-10B7-4EE1-ACA4-B521B3DA2E06}","2015"
14353,"5221764N","52",21764,"N",54,"54TLEBNW","54th St & Lebanon Av","City Fall 2015","Bus",39.987325,-75.232314,"40, 52",28,178,1427,136,9,100,873,93,9,105,733,83,"APC","No","{49AAF6B4-240F-41A3-968E-52596C6011F4}","2015"
14354,"5221765N","52",21765,"N",55,"54TGAINW","54th St & Gainor Rd","City Fall 2015","Bus",39.988852,-75.232829,"40, 52",20,119,1330,136,11,71,812,93,8,77,665,83,"APC","No","{A2C76BE5-1229-45AA-8639-BACE10FA418D}","2015"
14355,"5221766N","52",21766,"N",56,"54TWODNW","54th St & Woodcrest Av - FS","City Fall 2015","Bus",39.990826,-75.233462,"40, 52",17,203,1147,136,6,130,690,93,8,124,551,83,"APC","No","{9CF4EABC-79BE-47DE-8104-002AB9431EA9}","2015"
14356,"5231610N","52",31610,"N",57,"CARCITNO","Cardinal Av & City Av","City Fall 2015","Bus",39.994024,-75.241441,"52",9,138,855,127,5,57,604,90,6,53,473,80,"APC","No","{A9C3F48A-86CD-4DFF-8B3C-1BEF6B7E628A}","2015"
14357,"5220591N","52",20591,"N",58,"CIT54HNE","City Av & 54th St","City Fall 2015","Bus",39.996969,-75.235383,"52, 65",174,703,356,128,175,494,332,92,124,381,254,83,"APC","No","{697CD185-8B37-48DA-84B0-92A00B72643E}","2015"
14358,"5231630N","52",31630,"N",59,"54TWOONO","54th St & Woodbine Av - FS","City Fall 2015","Bus",39.992343,-75.233647,"52",1,3,158,8,0,0,0,0,0,0,0,0,"APC","No","{75FAD275-17FC-4CBE-95A6-9C5E2D0613B4}","2015"
14359,"5221768N","52",21768,"N",60,"54TOVENO","54th St & Overbrook Av","City Fall 2015","Bus",39.994628,-75.233924,"52",0,4,154,8,0,0,0,0,0,0,0,0,"APC","No","{93BA2C08-A6A3-447B-8D4B-2FB0A690F0B7}","2015"
14360,"5220589N","52",20589,"N",61,"54TCITNO","54th St & City Av","City Fall 2015","Bus",39.99696,-75.235135,"1, 44, 52",2,74,82,8,0,0,0,0,0,0,0,0,"APC","No","{C8BE6D3D-52CB-4B9C-A54A-08A888C14335}","2015"
14361,"5230138N","52",30138,"N",62,"54TCITSO","54th St & City Av - MBFS","City Fall 2015","Bus",39.995986,-75.23457,"52",0,132,220,128,0,116,217,89,0,92,153,82,"APC","No","{B5D3F45C-D1A2-4155-8DAE-BD89A91E3150}","2015"
14362,"526239N","52",6239,"N",63,"CIT53RNE","City Av & 53rd St","City Fall 2015","Bus",39.997449,-75.234365,"1, 44, 52, 65",1,7,75,8,0,1,0,3,0,0,0,1,"APC","No","{044A8C14-5448-40D8-8EDE-0122B2471D99}","2015"
14363,"526239N","52",6239,"N",64,"CIT53RNE","City Av & 53rd St","City Fall 2015","Bus",39.997449,-75.234365,"1, 44, 52, 65",1,7,75,8,0,1,0,3,0,0,0,1,"APC","No","{36F65C0F-AB64-4ADB-A889-882B9DC75867}","2015"
14364,"526239N","52",6239,"N",63,"CIT53RNE","City Av & 53rd St","City Fall 2015","Bus",39.997449,-75.234365,"1, 44, 52, 65",1,7,75,8,0,1,0,3,0,0,0,1,"APC","No","{15DF257F-6905-4F4E-9DD6-8DD1FE9BDA78}","2015"
14365,"526239N","52",6239,"N",64,"CIT53RNE","City Av & 53rd St","City Fall 2015","Bus",39.997449,-75.234365,"1, 44, 52, 65",1,7,75,8,0,1,0,3,0,0,0,1,"APC","No","{407C9878-9078-42C5-93DA-2F144D112EDF}","2015"
14366,"5220592N","52",20592,"N",65,"CIT52NNE","City Av & 52nd St","City Fall 2015","Bus",39.997965,-75.233289,"1, 44, 52, 65",1,1,75,8,0,0,0,0,0,0,0,0,"APC","No","{D7EA3D23-71D2-4E31-9938-783F1D64AF8B}","2015"
14367,"526232N","52",6232,"N",66,"CITBRYNE","City Av & Bryn Mawr Av","City Fall 2015","Bus",39.999024,-75.231017,"1, 44, 52, 65",1,9,67,8,0,0,0,0,0,0,0,0,"APC","No","{7CA878AE-11C8-4FCD-8825-0D949E1A6214}","2015"
14368,"5230129N","52",30129,"N",67,"BALCITNW","Bala Av & City Av - FS","City Fall 2015","Bus",40.000466,-75.22891,"44, 52",11,6,72,8,0,0,0,0,0,0,0,0,"APC","No","{4D1C9C5E-16F1-43FD-8ED8-A4D26A5AAFAD}","2015"
